"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000173535.15",525.514784326532,4.22075163826166,0.486293135124734,1.08872236797894e-19,2.0418988011445e-15,"Up",TRUE
"ENSG00000127954.13",499.456047415693,3.34502896814138,0.463479446985855,1.94255999172467e-14,1.21442375482654e-10,"Up",TRUE
"ENSG00000180871.8",2788.37739582587,3.6700758852613,0.555470731994252,3.40994676091898e-14,1.59883878752589e-10,"Up",TRUE
"ENSG00000262714.1",23.8958997760112,4.28162338615312,0.623105493920969,1.58310478061204e-13,5.93822603207577e-10,"Up",TRUE
"ENSG00000104957.14",406.345374430814,-1.09246303777075,0.157942678220369,4.10499480271155e-13,1.28315295874759e-09,"Down",TRUE
"ENSG00000188921.14",1027.01674200892,1.21990205098681,0.178426840862194,7.66550205108430e-13,2.0538070138298e-09,"Up",TRUE
"ENSG00000154889.17",323.606515832582,1.26012189156275,0.188207570807827,1.9670607805338e-12,4.61152811736394e-09,"Up",TRUE
"ENSG00000225614.4",56.9668833035753,-2.63295653348564,0.404747522861228,3.6201514124096e-12,7.54399330441578e-09,"Down",TRUE
"ENSG00000185305.12",117.449770341706,1.21909579371112,0.185282807429089,4.05333090898796e-12,7.60202211980692e-09,"Up",TRUE
"ENSG00000104951.16",37.4888257602558,-2.48322126007973,0.400225814006438,2.99911275382539e-11,5.11348724527228e-08,"Down",TRUE
"ENSG00000291156.1",33.6917672258253,-3.68990060615319,0.628989646356368,4.55660288160666e-11,7.1215905870444e-08,"Down",TRUE
"ENSG00000100427.16",224.143424723919,1.36491053968817,0.229399875942949,1.98268531826563e-10,2.8604048572363e-07,"Up",TRUE
"ENSG00000131323.17",414.670811785114,-1.04539139264127,0.179207558159375,4.6240838801093e-10,6.19462094081786e-07,"Down",TRUE
"ENSG00000160271.16",248.888503110455,-2.33957091607222,0.459358913679788,7.94822152241445e-10,9.93792631019219e-07,"Down",TRUE
"ENSG00000172006.12",56.0467697079841,-2.17648659865948,0.384843733406834,1.16339205765573e-09,1.36371362758332e-06,"Down",TRUE
"ENSG00000196365.12",326.401881442175,-1.63718698581341,0.29542805382034,1.76404554789534e-09,1.94615730886924e-06,"Down",TRUE
"ENSG00000124102.5",170.148694874113,4.41314851901785,0.999862236218003,2.40679143251484e-09,2.50774296204532e-06,"Up",TRUE
"ENSG00000121101.16",61.3068899566575,-3.63774722869091,0.675629572420371,3.14698941855685e-09,3.10640981815967e-06,"Down",TRUE
"ENSG00000239557.1",23.2933431526279,-2.08584199771291,0.400793443121036,1.06609639238133e-08,9.90599995584555e-06,"Down",TRUE
"ENSG00000113749.8",731.838022773466,2.06933655393395,0.416695246671664,1.16748692391599e-08,9.90599995584555e-06,"Up",TRUE
"ENSG00000289528.1",17.5126410188291,-3.05041887228207,0.601217362277463,1.26634755911078e-08,9.90599995584555e-06,"Down",TRUE
"ENSG00000133247.14",56.2372882769903,-1.5281372992523,0.29278719460096,1.26762995969231e-08,9.90599995584555e-06,"Down",TRUE
"ENSG00000124225.16",31.7096992988637,-2.35461164072583,0.446513757192591,1.12151493841139e-08,9.90599995584555e-06,"Down",TRUE
"ENSG00000116729.14",218.716026341316,2.28974325280742,0.45234460328047,1.4593066321209e-08,1.05266522636259e-05,"Up",TRUE
"ENSG00000149534.9",23.8008976442705,3.3154446871999,0.647890096005543,1.41820164288535e-08,1.05266522636259e-05,"Up",TRUE
"ENSG00000041353.10",311.918997076254,1.93161466971341,0.379223244093999,1.58138609680943e-08,1.09847763872818e-05,"Up",TRUE
"ENSG00000204614.9",5.17896298329156,4.87956952721516,1.1405614645623,1.68037016728619e-08,1.10237670612053e-05,"Up",TRUE
"ENSG00000185015.8",29.2564655950099,2.01508623968983,0.403830027660558,1.70455475753108e-08,1.10237670612053e-05,"Up",TRUE
"ENSG00000100422.14",1332.44825426772,-1.14633281398415,0.224853691473795,1.93988518524171e-08,1.21275155497361e-05,"Down",TRUE
"ENSG00000197380.11",21.8459723597873,-4.48872380693745,0.85735164161788,2.33996036164943e-08,1.41567601879791e-05,"Down",TRUE
"ENSG00000075391.18",26.2297969325553,-2.96232943259517,0.627915932385036,3.23838987016022e-08,1.8460653516773e-05,"Down",TRUE
"ENSG00000188011.5",31.0335497609321,-3.8097077179506,0.837631979585735,3.24820882993073e-08,1.8460653516773e-05,"Down",TRUE
"ENSG00000132003.10",36.2739082976933,-2.95139189167164,0.663681532453272,3.48906211460198e-08,1.92462823409883e-05,"Down",TRUE
"ENSG00000186577.14",228.050754249435,-1.02179252032718,0.203203606099156,4.06135610095169e-08,2.11585371314858e-05,"Down",TRUE
